KEY,VALUE
OBJECT_SENSITIVITY_LEVEL,3
CALL_GRAPH_CONSTRUCTION_TIME_IN_MILLISECONDS,17051
NUMBER_OF_ENTRY_POINTS,1
NUMBER_OF_NODES_OF_CALL_GRAPH,1676
NUMBER_OF_PRIMORDIAL_NODES_OF_CALL_GRAPH,1666
NUMBER_OF_EXTENSION_NODES_OF_CALL_GRAPH,4
NUMBER_OF_APPLICATION_NODES_OF_CALL_GRAPH,6
NUMBER_OF_NODES_OF_HEAP_GRAPH,12853
NUMBER_OF_CLASSES,28298
BUG_PATTERN_VNA00J_DETECTION_TIME_IN_MILLISECONDS,985
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_VNA00J,0
BUG_PATTERN_LCK06J_DETECTION_TIME_IN_MILLISECONDS,2175
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK06J,0
BUG_PATTERN_LCK02J_DETECTION_TIME_IN_MILLISECONDS,2
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK02J,0
BUG_PATTERN_LCK01J_DETECTION_TIME_IN_MILLISECONDS,5
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK01J,2
BUG_PATTERN_LCK03J_DETECTION_TIME_IN_MILLISECONDS,2
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK03J,0
